Transaction Date,Transaction Amount,Full Description,Date,Amount,Details
12/3/2024,-5,CINEMA 8 BROOKINGS SD,,,
12/2/2024,-1.06,SQ *KOOL BEANS COFFEE ANDBrookings SD,,,
12/2/2024,-43.83,WM SUPERCENTER #1538 BROOKINGS SD,,,
12/2/2024,-16.42,HY-VEE BROOKINGS 1039 BROOKINGS SD,,,
12/1/2024,-50,CASEYS #3285 DELL RAPIDS SD,,,
12/1/2024,-38,HY-VEE BROOKINGS 1039 BROOKINGS SD,,,
11/30/2024,-13.12,SPO*STENSLANDFAMILYFARMS-SIOUX FALLS SD,,,
11/29/2024,-127.4,Scheels Sioux Falls Sioux Falls SD,,,
11/29/2024,-119.45,FAMOUS FOOTWEAR #3323 SIOUX FALLS SD,,,
11/29/2024,-21.19,LS STICKS AND STEEL 160-53357349 SD,,,
11/29/2024,-21.23,LAST STOP CD SHOP SIOUX FALLS SD,,,
11/27/2024,1510.1,ONLINE PAYMENT THANK YOU,,,
11/27/2024,-30,SANFORD BROOKINGS BROOKINGS SD,,,
11/27/2024,-50,CASEYS #3285 DELL RAPIDS SD,,,
11/27/2024,-12.67,COUNTY FAIR FOOD ST DELL RAPIDS SD,,,
11/27/2024,-3.32,LEWIS DRUG #12 BROOKINGS SD,,,
11/27/2024,-64.79,ZACHBRYAN 865-525-2830 NY,,,
11/26/2024,-10.67,QDOBA #2600 BROOKINGS CA,,,
11/26/2024,-11.42,QDOBA #2600 BROOKINGS CA,,,
11/25/2024,-4.81,CULVERS OF BROOKINGS BROOKINGS SD,,,
11/25/2024,-6.36,APPLE.COM/BILL 866-712-7753 CA,,,
11/25/2024,-6,HY-VEE BROOKINGS 1039 BROOKINGS SD,,,
11/24/2024,-318.59,GDP*midwest-rust.com 480-5058800 SD,,,
11/24/2024,-1.93,WAL-MART #1538 BROOKINGS SD,,,
11/24/2024,-60.36,PEPPER ENTERTAINMENT 800-514-3849 NC,,,
11/23/2024,-27.85,TAICHI BUBBLE TEA. SIOUX FALLS SD,,,
11/23/2024,-38.19,TARGET 00025403 SIOUX FALLS SD,,,
11/23/2024,-28.67,CK *Silverstar 12Th S SIOUXFALLS SD,,,
11/22/2024,-2.53,WAL-MART #1538 BROOKINGS SD,,,
11/22/2024,-6.07,WAL-MART #1538 BROOKINGS SD,,,
11/22/2024,-7,HY-VEE BROOKINGS 1039 BROOKINGS SD,,,
11/21/2024,-21.24,OPENAI *CHATGPT SUBSCR HTTPSOPENAI.CCA,,,
11/20/2024,-4.81,CULVERS OF BROOKINGS BROOKINGS SD,,,
11/20/2024,74.32,LOWES #02435* BROOKINGS SD,,,
11/20/2024,-33.35,WM SUPERCENTER #1538 BROOKINGS SD,,,
11/19/2024,-18.27,WM SUPERCENTER #1538 BROOKINGS SD,,,
11/18/2024,-50,CASEYS #2419 BROOKINGS SD,,,
11/17/2024,-74.32,LOWES #02435* BROOKINGS SD,,,
